k,precision,recall,f1_score,true_anomalies_found,coverage,false_positives
50,1.0,0.013747594171020072,0.027122321670735014,50,0.0005932253663166637,0
100,1.0,0.027495188342040143,0.05351886540005352,100,0.0011864507326333274,0
200,1.0,0.054990376684080286,0.10424811050299713,200,0.002372901465266655,0
300,0.9833333333333333,0.08111080560901843,0.14986029972059944,295,0.003559352197899982,5
500,0.804,0.11053065713500138,0.1943437273386512,402,0.005932253663166637,98
1000,0.464,0.12757767390706626,0.20012939400474444,464,0.011864507326333274,536
2000,0.262,0.14407478691229034,0.1859144935249246,524,0.02372901465266655,1476
3000,0.185,0.1525982952983228,0.1672442368540003,555,0.03559352197899982,2445
3637,0.15864723673357162,0.15864723673357162,0.15864723673357162,577,0.04315121314587412,3060
4000,0.14625,0.16084685180093483,0.15320151892104228,585,0.0474580293053331,3415
5000,0.1282,0.1762441572724773,0.1484311682297094,641,0.05932253663166637,4359
7500,0.09453333333333333,0.19494088534506462,0.12732333662566223,709,0.08898380494749955,6791
10000,0.0764,0.21006323893318668,0.11204810442179364,764,0.11864507326333273,9236
15000,0.0596,0.24580698377783888,0.0959381874765252,894,0.1779676098949991,14106
20000,0.0667,0.3667858124828155,0.11287388416465712,1334,0.23729014652666547,18666
21071,0.06853020739404869,0.39703051965905967,0.11688521936214992,1444,0.2499970338731684,19627
42142,0.06293009349342699,0.7291723948309046,0.11586098429410865,2652,0.4999940677463368,39490
84285,0.04315121314587412,1.0,0.08273242191942858,3637,1.0,80648
